,MAE,RMSE,MAPE
ARIMA,1876.1572424770566,2243.312519739704,9.379176187095775
Prophet,1697.6949813696122,2026.3297602326634,7.710158134578503
Random Forest,1179.0870704852202,1487.2053790501752,5.352589019927353
XGBoost,1212.1434865552326,1566.5298652067313,5.465194179110386
